資料基準年度,產業別,市場,臺灣對該市場出口額USD千美元,臺灣對該市場出口額排名,市場成長率%,市場占比%
106,鞋、帽及其他飾品,愛爾蘭,81,68,97.56,0.02
106,鞋、帽及其他飾品,肯亞,75,69,212.5,0.02
106,鞋、帽及其他飾品,寮國,67,70,109.38,0.02
106,鞋、帽及其他飾品,哥斯大黎加,63,71,-22.22,0.02
106,鞋、帽及其他飾品,其他國家,58,72,-28.4,0.01
106,鞋、帽及其他飾品,拉脫維亞,57,73,39.02,0.01
106,鞋、帽及其他飾品,埃及,56,74,-5.08,0.01
106,鞋、帽及其他飾品,奈及利亞,56,74,-17.65,0.01
106,鞋、帽及其他飾品,宏都拉斯,52,75,160,0.01
106,鞋、帽及其他飾品,多明尼加,51,76,-43.96,0.01
106,鞋、帽及其他飾品,模里西斯,51,76,50,0.01
106,鞋、帽及其他飾品,冰島,48,77,65.52,0.01
106,鞋、帽及其他飾品,尼加拉瓜,46,78,-36.99,0.01
106,鞋、帽及其他飾品,摩洛哥,41,79,-60.58,0.01
106,鞋、帽及其他飾品,卡達,40,80,-21.57,0.01
106,鞋、帽及其他飾品,黎巴嫩,40,80,-18.37,0.01
106,鞋、帽及其他飾品,哈薩克,36,81,56.52,0.01
106,鞋、帽及其他飾品,巴基斯坦,35,82,-33.96,0.01
106,鞋、帽及其他飾品,帛琉,31,83,-29.55,0.01
106,鞋、帽及其他飾品,阿爾及利亞,30,84,500,0.01
106,鞋、帽及其他飾品,巴貝多,29,85,-35.56,0.01
106,鞋、帽及其他飾品,斐濟,29,85,-47.27,0.01
106,鞋、帽及其他飾品,厄瓜多,26,86,188.89,0.01
106,鞋、帽及其他飾品,約旦,25,87,8.7,0.01
106,鞋、帽及其他飾品,馬爾他,25,87,127.27,0.01
106,鞋、帽及其他飾品,蓋亞那,20,88,66.67,0.01
106,鞋、帽及其他飾品,喬治亞,19,89,-,0
106,鞋、帽及其他飾品,牙買加,19,89,11.76,0
106,鞋、帽及其他飾品,賽普勒斯,19,89,-5,0
106,鞋、帽及其他飾品,烏茲別克,18,90,-,0
106,鞋、帽及其他飾品,美屬薩摩亞,17,91,30.77,0
106,鞋、帽及其他飾品,巴林,16,92,-11.11,0
106,鞋、帽及其他飾品,盧森堡,16,92,-38.46,0
106,鞋、帽及其他飾品,保加利亞,14,93,-58.82,0
106,鞋、帽及其他飾品,象牙海岸,13,94,-,0
106,鞋、帽及其他飾品,紐喀里多尼亞,11,95,-47.62,0
106,鞋、帽及其他飾品,馬達加斯加,11,95,-,0
106,鞋、帽及其他飾品,其他非洲國家,9,96,28.57,0
106,鞋、帽及其他飾品,薩摩亞,9,96,12.5,0
106,鞋、帽及其他飾品,迦納,9,96,125,0
106,鞋、帽及其他飾品,塞內加爾,8,97,100,0
106,鞋、帽及其他飾品,斯洛伐克,8,97,-77.14,0
106,鞋、帽及其他飾品,東加,8,97,700,0
106,鞋、帽及其他飾品,委內瑞拉,7,98,-,0
106,鞋、帽及其他飾品,愛沙尼亞,7,98,-36.36,0
106,鞋、帽及其他飾品,葉門,7,98,-12.5,0
106,鞋、帽及其他飾品,克羅埃西亞,6,99,-88.24,0
106,鞋、帽及其他飾品,塞爾維亞,6,99,-,0
106,鞋、帽及其他飾品,海地,6,99,-33.33,0
106,鞋、帽及其他飾品,羅馬尼亞,6,99,50,0
106,鞋、帽及其他飾品,莫三比克,6,99,50,0
106,鞋、帽及其他飾品,其他中美洲國家,5,100,-79.17,0
106,鞋、帽及其他飾品,吉里巴斯,5,100,400,0
106,鞋、帽及其他飾品,大溪地,5,100,0,0
106,鞋、帽及其他飾品,蘇利南,5,100,25,0
106,鞋、帽及其他飾品,史瓦帝尼,4,101,-80,0
106,鞋、帽及其他飾品,尚比亞,4,101,-71.43,0
106,鞋、帽及其他飾品,幾內亞,4,101,-77.78,0
106,鞋、帽及其他飾品,聖露西亞,4,101,-,0
106,鞋、帽及其他飾品,阿曼,4,101,-55.56,0
106,鞋、帽及其他飾品,汶萊,3,102,200,0
106,鞋、帽及其他飾品,貝里斯,3,102,-57.14,0
106,鞋、帽及其他飾品,賴索托,3,102,-,0
106,鞋、帽及其他飾品,安哥拉,2,103,-94.87,0
106,鞋、帽及其他飾品,摩納哥,2,103,-,0
106,鞋、帽及其他飾品,玻利維亞,2,103,-,0
106,鞋、帽及其他飾品,白俄羅斯,2,103,-,0
106,鞋、帽及其他飾品,伊拉克,1,104,0,0
106,鞋、帽及其他飾品,利比亞,1,104,-,0
106,鞋、帽及其他飾品,尼泊爾,1,104,-50,0
106,鞋、帽及其他飾品,獅子山,1,104,-,0
106,鞋、帽及其他飾品,貝南,1,104,-,0
106,非金屬礦物製品,中國大陸,1052833,1,5.39,44.54
106,非金屬礦物製品,美國,283083,2,4.65,11.97
106,非金屬礦物製品,日本,268324,3,4.01,11.35
106,非金屬礦物製品,香港,209647,4,-1.87,8.87
106,非金屬礦物製品,南韓,111985,5,12.2,4.74
106,非金屬礦物製品,德國,43026,6,9.74,1.82
106,非金屬礦物製品,泰國,30369,7,14.45,1.28
106,非金屬礦物製品,義大利,24247,8,4,1.03
106,非金屬礦物製品,新加坡,23430,9,-10.58,0.99
106,非金屬礦物製品,英國,22193,10,1.3,0.94
106,非金屬礦物製品,越南,21376,11,9.42,0.9
106,非金屬礦物製品,馬來西亞,19441,12,-5.63,0.82
106,非金屬礦物製品,法國,17965,13,2.51,0.76
106,非金屬礦物製品,加拿大,17619,14,5.93,0.75
106,非金屬礦物製品,印尼,15588,15,5.84,0.66
106,非金屬礦物製品,荷蘭,14976,16,27.18,0.63
106,非金屬礦物製品,澳大利亞,14012,17,-9.7,0.59
106,非金屬礦物製品,印度,11207,18,22.88,0.47
106,非金屬礦物製品,菲律賓,11136,19,-1.71,0.47
106,非金屬礦物製品,西班牙,10419,20,20.12,0.44
106,非金屬礦物製品,巴基斯坦,9124,21,-10.28,0.39
106,非金屬礦物製品,比利時,9039,22,19.61,0.38
106,非金屬礦物製品,紐西蘭,7821,23,6.18,0.33
106,非金屬礦物製品,俄羅斯,7462,24,5.6,0.32
106,非金屬礦物製品,墨西哥,7311,25,-1.69,0.31
106,非金屬礦物製品,土耳其,7180,26,3.31,0.3
106,非金屬礦物製品,澳門,7171,27,-16.11,0.3
106,非金屬礦物製品,阿拉伯聯合大公國,5812,28,-0.38,0.25
106,非金屬礦物製品,巴西,5794,29,22.78,0.25
106,非金屬礦物製品,波蘭,5712,30,4.63,0.24
106,非金屬礦物製品,沙烏地阿拉伯,5024,31,-14.89,0.21
106,非金屬礦物製品,拉脫維亞,4919,32,-50.88,0.21
106,非金屬礦物製品,葡萄牙,4918,33,52.5,0.21
106,非金屬礦物製品,南非,2925,34,-6.55,0.12
106,非金屬礦物製品,希臘,2853,35,25.96,0.12
106,非金屬礦物製品,奧地利,2850,36,11.07,0.12
106,非金屬礦物製品,哥倫比亞,2802,37,-9.17,0.12
106,非金屬礦物製品,以色列,2569,38,35.21,0.11
106,非金屬礦物製品,斯洛維尼亞,2193,39,-6.64,0.09
106,非金屬礦物製品,瑞典,1916,40,-23.54,0.08
106,非金屬礦物製品,伊朗,1843,41,-18.52,0.08
106,非金屬礦物製品,阿爾及利亞,1726,42,-7.45,0.07
106,非金屬礦物製品,斯里蘭卡,1635,43,-12.94,0.07
106,非金屬礦物製品,智利,1624,44,0,0.07
106,非金屬礦物製品,埃及,1572,45,-17.35,0.07
106,非金屬礦物製品,孟加拉,1462,46,101.1,0.06
106,非金屬礦物製品,奈及利亞,1189,47,15.1,0.05
106,非金屬礦物製品,厄瓜多,1187,48,74.05,0.05
106,非金屬礦物製品,阿根廷,1176,49,-5.69,0.05
106,非金屬礦物製品,瓜地馬拉,877,50,-1.9,0.04
106,非金屬礦物製品,丹麥,871,51,-35.77,0.04
106,非金屬礦物製品,巴拿馬,807,52,-2.89,0.03
106,非金屬礦物製品,愛爾蘭,789,53,-27.28,0.03
106,非金屬礦物製品,黎巴嫩,744,54,-11,0.03
106,非金屬礦物製品,秘魯,737,55,-30.14,0.03
106,非金屬礦物製品,摩洛哥,718,56,30.31,0.03
106,非金屬礦物製品,克羅埃西亞,680,57,23.41,0.03
106,非金屬礦物製品,科威特,658,58,5.79,0.03
106,非金屬礦物製品,愛沙尼亞,640,59,67.98,0.03
106,非金屬礦物製品,約旦,615,60,-25.54,0.03
106,非金屬礦物製品,突尼西亞,597,61,-69.46,0.03
106,非金屬礦物製品,伊拉克,581,62,-5.53,0.02
106,非金屬礦物製品,薩爾瓦多,558,63,21.83,0.02
106,非金屬礦物製品,瑞士,550,64,-11.15,0.02
106,非金屬礦物製品,宏都拉斯,522,65,27.94,0.02
106,非金屬礦物製品,哥斯大黎加,516,66,-16.23,0.02
106,非金屬礦物製品,多明尼加,494,67,-14.38,0.02
106,非金屬礦物製品,立陶宛,473,68,4.65,0.02
106,非金屬礦物製品,緬甸,460,69,-34.19,0.02
106,非金屬礦物製品,象牙海岸,432,70,-2.7,0.02
106,非金屬礦物製品,挪威,424,71,110.95,0.02
106,非金屬礦物製品,關島,385,72,-11.9,0.02
106,非金屬礦物製品,巴林,376,73,38.24,0.02
106,非金屬礦物製品,芬蘭,367,74,-30.62,0.02
106,非金屬礦物製品,捷克,366,75,-90.02,0.02
106,非金屬礦物製品,波多黎各,345,76,-22.65,0.01
106,非金屬礦物製品,其他大洋洲國家,332,77,37.19,0.01
106,非金屬礦物製品,肯亞,331,78,-44.74,0.01
106,非金屬礦物製品,千里達及托巴哥,311,79,75.71,0.01
106,非金屬礦物製品,馬爾地夫,304,80,13.01,0.01
106,非金屬礦物製品,羅馬尼亞,294,81,40.67,0.01
106,非金屬礦物製品,蘇丹,272,82,-6.21,0.01
106,非金屬礦物製品,蓋亞那,261,83,96.24,0.01
106,非金屬礦物製品,柬埔寨,247,84,-9.19,0.01
106,非金屬礦物製品,烏拉圭,247,84,4.22,0.01
106,非金屬礦物製品,帛琉,240,85,35.59,0.01
106,非金屬礦物製品,衣索比亞,236,86,-64.93,0.01
106,非金屬礦物製品,其他國家,229,87,-39.9,0.01
106,非金屬礦物製品,幾內亞,205,88,177.03,0.01
106,非金屬礦物製品,敘利亞,185,89,208.33,0.01
106,非金屬礦物製品,貝里斯,163,90,8050,0.01
106,非金屬礦物製品,牙買加,140,91,-27.46,0.01
106,非金屬礦物製品,模里西斯,128,92,-8.57,0.01
106,非金屬礦物製品,葉門,127,93,-45.96,0.01
106,非金屬礦物製品,匈牙利,126,94,-76.97,0.01
106,非金屬礦物製品,烏克蘭,125,95,-18.3,0.01
106,非金屬礦物製品,巴拉圭,121,96,-67.99,0.01
106,非金屬礦物製品,保加利亞,114,97,660,0
106,非金屬礦物製品,波札那,110,98,19.57,0
106,非金屬礦物製品,卡達,109,99,26.74,0
106,非金屬礦物製品,汶萊,109,99,-50.9,0
106,非金屬礦物製品,斐濟,106,100,19.1,0
106,非金屬礦物製品,加彭,104,101,225,0
106,非金屬礦物製品,阿曼,89,102,28.99,0
106,非金屬礦物製品,利比亞,87,103,-23.68,0
106,非金屬礦物製品,塞內加爾,78,104,4,0
106,非金屬礦物製品,馬紹爾群島共和國,76,105,-50,0
106,非金屬礦物製品,委內瑞拉,75,106,-23.47,0
106,非金屬礦物製品,賽普勒斯,75,106,38.89,0
106,非金屬礦物製品,玻利維亞,73,107,-45.52,0
106,非金屬礦物製品,坦尚尼亞,72,108,414.29,0
106,非金屬礦物製品,斯洛伐克,62,109,8.77,0
106,非金屬礦物製品,莫三比克,54,110,-39.33,0
106,非金屬礦物製品,多哥,50,111,-59.68,0
106,非金屬礦物製品,海地,49,112,250,0
106,非金屬礦物製品,馬爾他,40,113,14.29,0
106,非金屬礦物製品,剛果,36,114,350,0
106,非金屬礦物製品,賴索托,35,115,-2.78,0
106,非金屬礦物製品,巴貝多,33,116,-60.24,0
106,非金屬礦物製品,白俄羅斯,31,117,-20.51,0
106,非金屬礦物製品,東加,30,118,2900,0
106,非金屬礦物製品,巴布亞紐幾內亞,27,119,-61.43,0
106,非金屬礦物製品,蒙古,25,120,-19.35,0
106,非金屬礦物製品,亞塞拜然,24,121,20,0
106,非金屬礦物製品,尼加拉瓜,24,121,-86.36,0
106,非金屬礦物製品,寮國,21,122,-,0
106,非金屬礦物製品,其他中美洲國家,19,123,90,0
106,非金屬礦物製品,其他非洲國家,19,123,90,0
106,非金屬礦物製品,布吉納法索,19,123,-65.45,0
106,非金屬礦物製品,索馬利亞,16,124,-5.88,0
106,非金屬礦物製品,蘇利南,15,125,-37.5,0
106,非金屬礦物製品,尚比亞,14,126,-26.32,0
106,非金屬礦物製品,薩摩亞,14,126,-,0
106,非金屬礦物製品,尼泊爾,13,127,85.71,0
106,非金屬礦物製品,迦納,13,127,116.67,0
106,非金屬礦物製品,剛果民主共和國,12,128,300,0
106,非金屬礦物製品,吐瓦魯,12,128,-,0
106,非金屬礦物製品,紐喀里多尼亞,12,128,140,0
106,非金屬礦物製品,摩爾多瓦,11,129,-,0
106,非金屬礦物製品,其他歐洲國家,10,130,-41.18,0
106,非金屬礦物製品,史瓦帝尼,10,130,-37.5,0
106,非金屬礦物製品,聖克里斯多福,9,131,-35.71,0
106,非金屬礦物製品,古巴,7,132,40,0
106,非金屬礦物製品,貝南,7,132,-,0
106,非金屬礦物製品,亞美尼亞,6,133,-68.42,0
106,非金屬礦物製品,哈薩克,6,133,200,0
106,非金屬礦物製品,安哥拉,6,133,-,0
106,非金屬礦物製品,聖露西亞,6,133,-,0
106,非金屬礦物製品,冰島,3,134,-25,0
106,非金屬礦物製品,塞爾維亞,3,134,50,0
106,非金屬礦物製品,盧森堡,3,134,-40,0
106,非金屬礦物製品,納米比亞,3,134,0,0
106,非金屬礦物製品,馬達加斯加,3,134,-78.57,0
106,非金屬礦物製品,喬治亞,2,135,-77.78,0
106,非金屬礦物製品,大溪地,2,135,0,0
106,非金屬礦物製品,法屬圭亞那,2,135,-75,0
106,非金屬礦物製品,烏茲別克,2,135,-,0
106,非金屬礦物製品,阿爾巴尼亞,2,135,-60,0
106,非金屬礦物製品,不丹,1,136,-,0
106,非金屬礦物製品,巴勒斯坦,1,136,0,0
106,非金屬礦物製品,索羅門群島,1,136,-50,0
106,非金屬礦物製品,美屬薩摩亞,1,136,-66.67,0
106,非金屬礦物製品,茅利塔尼亞伊斯蘭共和國,1,136,-66.67,0
106,運輸工具,美國,3121564,1,4.27,28.7
106,運輸工具,德國,702044,2,12.77,6.45
106,運輸工具,荷蘭,664709,3,13.66,6.11
106,運輸工具,中國大陸,574282,4,-35.64,5.28
106,運輸工具,日本,557987,5,4.38,5.13
106,運輸工具,英國,510230,6,-1.42,4.69
106,運輸工具,沙烏地阿拉伯,369810,7,-21.85,3.4
106,運輸工具,義大利,321086,8,13.28,2.95
106,運輸工具,加拿大,277192,9,3.79,2.55
106,運輸工具,泰國,238871,10,53.82,2.2
106,運輸工具,南韓,229481,11,62.9,2.11
106,運輸工具,香港,222049,12,67.07,2.04
106,運輸工具,澳大利亞,215096,13,-1.5,1.98
106,運輸工具,比利時,171633,14,-1.79,1.58
106,運輸工具,墨西哥,167049,15,7.01,1.54
106,運輸工具,西班牙,158069,16,14.82,1.45
106,運輸工具,菲律賓,137887,17,-56.57,1.27
106,運輸工具,法國,120321,18,24.97,1.11
106,運輸工具,阿拉伯聯合大公國,120278,19,-13.54,1.11
106,運輸工具,馬紹爾群島共和國,119065,20,37107.81,1.09
106,運輸工具,印尼,96939,21,2.4,0.89
106,運輸工具,波蘭,74021,22,6.19,0.68
106,運輸工具,巴西,73906,23,26.68,0.68
106,運輸工具,越南,72325,24,2.23,0.66
106,運輸工具,瑞士,67021,25,15,0.62
106,運輸工具,南非,64631,26,6.7,0.59
106,運輸工具,柬埔寨,63608,27,41.09,0.58
106,運輸工具,新加坡,62452,28,-66.88,0.57
106,運輸工具,丹麥,58657,29,-9.36,0.54
106,運輸工具,葡萄牙,57750,30,33.36,0.53
106,運輸工具,馬來西亞,57428,31,-10.35,0.53
106,運輸工具,俄羅斯,57121,32,21,0.53
106,運輸工具,瑞典,56983,33,-9.67,0.52
106,運輸工具,阿曼,56748,34,-12.01,0.52
106,運輸工具,紐西蘭,49577,35,4.98,0.46
106,運輸工具,哥倫比亞,48087,36,-33.11,0.44
106,運輸工具,科威特,40749,37,-36.26,0.37
106,運輸工具,匈牙利,39881,38,54.03,0.37
106,運輸工具,羅馬尼亞,39636,39,53.4,0.36
106,運輸工具,奧地利,38059,40,-5.29,0.35
106,運輸工具,以色列,37720,41,-18.68,0.35
106,運輸工具,捷克,34619,42,29.98,0.32
106,運輸工具,挪威,32096,43,-9.11,0.3
106,運輸工具,土耳其,29223,44,-12.65,0.27
106,運輸工具,印度,28857,45,0.67,0.27
106,運輸工具,其他大洋洲國家,27865,46,47.83,0.26
106,運輸工具,巴林,27404,47,-6.11,0.25
106,運輸工具,阿根廷,26568,48,35.95,0.24
106,運輸工具,智利,25149,49,-0.88,0.23
106,運輸工具,希臘,22811,50,-19.78,0.21
106,運輸工具,埃及,18058,51,-28.7,0.17
106,運輸工具,澳門,17451,52,129.17,0.16
106,運輸工具,厄瓜多,17173,53,44.25,0.16
106,運輸工具,伊朗,16735,54,-15.65,0.15
106,運輸工具,瓜地馬拉,14711,55,-0.7,0.14
106,運輸工具,巴拿馬,14304,56,27.45,0.13
106,運輸工具,芬蘭,14129,57,4.01,0.13
106,運輸工具,奈及利亞,13593,58,17.5,0.12
106,運輸工具,卡達,13382,59,-23.4,0.12
106,運輸工具,巴基斯坦,13258,60,5,0.12
106,運輸工具,伊拉克,12831,61,38.41,0.12
106,運輸工具,哥斯大黎加,12402,62,-7.21,0.11
106,運輸工具,秘魯,11764,63,9.44,0.11
106,運輸工具,多明尼加,11708,64,-9.73,0.11
106,運輸工具,黎巴嫩,11088,65,-1.33,0.1
106,運輸工具,立陶宛,10774,66,27.01,0.1
106,運輸工具,薩爾瓦多,9734,67,-62.94,0.09
106,運輸工具,阿爾及利亞,8850,68,-4.86,0.08
106,運輸工具,馬爾他,8277,69,127.52,0.08
106,運輸工具,保加利亞,8110,70,0.91,0.07
106,運輸工具,波多黎各,7907,71,-3.56,0.07
106,運輸工具,斯洛維尼亞,7525,72,-25.75,0.07
106,運輸工具,摩洛哥,6934,73,23.91,0.06
106,運輸工具,斯洛伐克,6898,74,-4.05,0.06
106,運輸工具,宏都拉斯,6825,75,14.3,0.06
106,運輸工具,盧森堡,5874,76,3.11,0.05
106,運輸工具,約旦,5854,77,-2.14,0.05
106,運輸工具,孟加拉,5847,78,-0.43,0.05
106,運輸工具,拉脫維亞,5708,79,14.55,0.05
106,運輸工具,巴拉圭,5688,80,27.22,0.05
106,運輸工具,愛沙尼亞,5640,81,42.28,0.05
106,運輸工具,利比亞,5120,82,11.94,0.05
106,運輸工具,烏克蘭,3634,83,0.53,0.03
106,運輸工具,烏拉圭,3589,84,5.59,0.03
106,運輸工具,葉門,3341,85,30.66,0.03
106,運輸工具,哈薩克,3200,86,15.82,0.03
106,運輸工具,緬甸,2978,87,9.36,0.03
106,運輸工具,克羅埃西亞,2846,88,-9.33,0.03
106,運輸工具,其他國家,2832,89,-3.05,0.03
106,運輸工具,千里達及托巴哥,2800,90,-4.14,0.03
106,運輸工具,突尼西亞,2508,91,1.42,0.02
106,運輸工具,蘇丹,2432,92,18.4,0.02
106,運輸工具,其他非洲國家,2354,93,-50.79,0.02
106,運輸工具,斯里蘭卡,2249,94,-6.8,0.02
106,運輸工具,肯亞,2222,95,16.7,0.02
106,運輸工具,馬達加斯加,2218,96,70.88,0.02
106,運輸工具,愛爾蘭,2205,97,-23.76,0.02
106,運輸工具,吉里巴斯,2018,98,967.72,0.02
106,運輸工具,賽普勒斯,1987,99,-21.71,0.02
106,運輸工具,斐濟,1888,100,10.54,0.02
106,運輸工具,牙買加,1645,101,-22.88,0.02
106,運輸工具,模里西斯,1530,102,-13.66,0.01
106,運輸工具,其他中美洲國家,1478,103,-4.4,0.01
106,運輸工具,喬治亞,1406,104,115.31,0.01
106,運輸工具,迦納,1368,105,-6.68,0.01
106,運輸工具,波札那,1333,106,31.59,0.01
106,運輸工具,坦尚尼亞,1157,107,-34.67,0.01
106,運輸工具,委內瑞拉,1092,108,-59.97,0.01
106,運輸工具,幾內亞,1021,109,170.82,0.01
106,運輸工具,玻利維亞,953,110,6.24,0.01
106,運輸工具,敘利亞,904,111,28.77,0.01
106,運輸工具,蘇利南,864,112,57.66,0.01
106,運輸工具,巴布亞紐幾內亞,811,113,-12.61,0.01
106,運輸工具,白俄羅斯,764,114,71.3,0.01
106,運輸工具,巴貝多,745,115,5.82,0.01
106,運輸工具,關島,744,116,19.04,0.01
106,運輸工具,冰島,725,117,80.35,0.01
106,運輸工具,蓋亞那,697,118,-45.63,0.01
106,運輸工具,貝里斯,612,119,-12.82,0.01
106,運輸工具,巴哈馬,598,120,101.35,0.01
106,運輸工具,其他北美洲國家,578,121,65.14,0.01
106,運輸工具,古巴,578,121,14.23,0.01
106,運輸工具,汶萊,543,122,12.66,0
106,運輸工具,法屬圭亞那,447,123,-8.59,0
106,運輸工具,塞內加爾,446,124,-64.72,0
106,運輸工具,紐喀里多尼亞,417,125,10.9,0
106,運輸工具,衣索比亞,408,126,85.45,0
106,運輸工具,其他南美洲國家,391,127,56.4,0
106,運輸工具,尼加拉瓜,379,128,39.85,0
106,運輸工具,阿爾巴尼亞,375,129,54.32,0
106,運輸工具,海地,366,130,-11.81,0
106,運輸工具,帛琉,337,131,-48.15,0
106,運輸工具,茅利塔尼亞伊斯蘭共和國,283,132,79.11,0
106,運輸工具,加彭,272,133,-6.21,0
106,運輸工具,大溪地,209,134,95.33,0
106,運輸工具,尼泊爾,207,135,5.61,0
106,運輸工具,尚比亞,182,136,121.95,0
106,運輸工具,萬那杜,163,137,-24.19,0
106,運輸工具,塞爾維亞,157,138,-14.67,0
106,運輸工具,馬爾地夫,132,139,1.54,0
106,運輸工具,象牙海岸,122,140,205,0
106,運輸工具,貝南,122,140,50.62,0
106,運輸工具,多米尼克,106,141,63.08,0
106,運輸工具,安哥拉,97,142,4750,0
106,運輸工具,蒙古,97,142,-36.18,0
106,運輸工具,馬拉威,95,143,-,0
106,運輸工具,甘比亞,87,144,625,0
106,運輸工具,索馬利亞,83,145,-13.54,0
106,運輸工具,摩爾多瓦,78,146,-38.1,0
106,運輸工具,烏干達,76,147,80.95,0
106,運輸工具,土庫曼,75,148,-40.48,0
106,運輸工具,辛巴威,70,149,62.79,0
106,運輸工具,多哥,59,150,-85.43,0
106,運輸工具,其他歐洲國家,53,151,253.33,0
106,運輸工具,吉布地,50,152,-64.29,0
106,運輸工具,北馬其頓,48,153,26.32,0
106,運輸工具,東加,44,154,-16.98,0
106,運輸工具,聖文森及格瑞納丁,43,155,-10.42,0
106,運輸工具,納米比亞,40,156,-9.09,0
106,運輸工具,布吉納法索,37,157,-82.38,0
106,運輸工具,蒙特內哥羅共和國,36,158,-57.65,0
106,運輸工具,吉爾吉斯,31,159,-18.42,0
106,運輸工具,史瓦帝尼,27,160,58.82,0
